Hour,Electricity_Price_$/MWh,Carbon_Intensity_kg_CO2/MWh,Curtailment_Available,Battery_Charge_MW,Battery_Discharge_MW,Battery_SOC_MWh,Load_Jobs_As_Is_MW,Load_Curtailment_Only_MW,Load_Carbon_Aware_MW,Load_Jobs_As_Is_With_Battery_MW,Load_Curtailment_Only_With_Battery_MW,Load_Carbon_Aware_With_Battery_MW
135,58.00607695793853,262.24509078502183,0.0,0.0,0.0,72.0,20.0,15.007616000000002,19.999952761020364,20.0,15.007616000000002,19.999952761020364
136,36.2339736613101,274.37295218107556,1.0,8.88888888888889,0.0,80.0,20.0,19.0015232,19.99998582830611,28.88888888888889,26.112634311111112,24.44443027275055
137,36.30579354689241,314.6969647338853,0.0,0.0,20.0,60.0,20.0,15.000304640000001,19.999995748491834,0.0,-0.9996953599999987,9.999995748491834
138,41.50813773895736,388.3299468736527,0.0,0.0,20.0,40.0,20.0,14.200060928000001,14.399998724547547,0.0,-1.799939071999999,4.399998724547547
139,21.270799791990548,371.0757151003032,0.0,0.0,20.0,20.0,20.0,14.040012185600002,12.719999617364262,0.0,-1.959987814399998,2.7199996173642624
140,29.319679476833038,441.4129214351011,0.0,0.0,20.0,0.0,20.0,14.008002437120002,12.215999885209277,0.0,-1.9919975628799982,2.2159998852092766
141,34.85054031646122,450.00023760496526,0.0,0.0,0.0,0.0,20.0,14.001600487424001,12.06479996556278,20.0,14.001600487424001,12.06479996556278
142,9.149753066743603,473.3733744708491,0.0,0.0,0.0,0.0,20.0,14.000320097484801,12.019439989668832,20.0,14.000320097484801,12.019439989668832
143,21.98818347392241,500.0,0.0,0.0,0.0,0.0,20.0,14.00006401949696,12.005831996900648,20.0,14.00006401949696,12.005831996900648
144,22.07906235398739,500.0,0.0,0.0,0.0,0.0,20.0,14.000012803899393,12.001749599070193,20.0,14.000012803899393,12.001749599070193
145,26.765695579882454,500.0,0.0,0.0,0.0,0.0,20.0,14.00000256077988,12.000524879721056,20.0,14.00000256077988,12.000524879721056
146,12.114013256208764,500.0,0.0,0.0,0.0,0.0,20.0,14.000000512155978,12.000157463916315,20.0,14.000000512155978,12.000157463916315
147,13.829745377527576,456.6961324269649,0.0,0.0,0.0,0.0,20.0,14.000000102431198,12.000047239174894,20.0,14.000000102431198,12.000047239174894
148,31.675532524935182,445.45858913884894,0.0,0.0,0.0,0.0,20.0,14.00000002048624,12.000014171752467,20.0,14.00000002048624,12.000014171752467
149,33.493591709327674,379.51485406757445,0.0,0.0,0.0,0.0,20.0,14.000000004097249,12.000004251525738,20.0,14.000000004097249,12.000004251525738
150,37.003942802767014,359.72499057465325,0.0,0.0,0.0,0.0,20.0,14.000000000819451,17.60000127545772,20.0,14.000000000819451,17.60000127545772
151,41.65387135251362,307.27285160359133,0.0,0.0,0.0,0.0,20.0,14.000000000163892,19.280000382637315,20.0,14.000000000163892,19.280000382637315
152,37.059802227372074,277.90987894978156,0.0,0.0,0.0,0.0,20.0,14.00000000003278,19.784000114791194,20.0,14.00000000003278,19.784000114791194
153,47.46463129508624,261.78869358512526,0.0,0.0,0.0,0.0,20.0,14.000000000006557,19.935200034437358,20.0,14.000000000006557,19.935200034437358
154,50.33496084315603,195.54956893533003,0.0,0.0,0.0,0.0,20.0,14.000000000001313,19.980560010331207,20.0,14.000000000001313,19.980560010331207
155,43.77407605012508,267.88274432720357,1.0,20.0,0.0,18.0,20.0,18.800000000000264,19.99416800309936,40.0,34.80000000000027,29.99416800309936
156,64.92619608915805,169.81947855500894,0.0,0.0,0.0,18.0,20.0,14.960000000000054,19.99825040092981,20.0,14.960000000000054,19.99825040092981
157,53.279550761630325,168.6854676730078,1.0,20.0,0.0,36.0,20.0,18.99200000000001,19.999475120278944,40.0,34.99200000000001,29.999475120278944
158,38.45995307914539,254.83951563733623,1.0,20.0,0.0,54.0,20.0,19.7984,19.999842536083683,40.0,35.7984,29.999842536083683
159,50.859030586868855,267.68386364090594,1.0,20.0,0.0,72.0,20.0,19.95968,19.999952760825103,40.0,35.95968,29.999952760825103
160,34.70254663818143,293.72359451156467,0.0,0.0,0.0,72.0,20.0,15.191936000000002,19.99998582824753,20.0,15.191936000000002,19.99998582824753
161,45.178962506477426,330.02750851255024,0.0,0.0,20.0,52.0,20.0,14.238387200000002,19.99999574847426,0.0,-1.7616127999999982,9.999995748474259
162,44.26876463205923,349.63259681459255,0.0,0.0,20.0,32.0,20.0,14.047677440000001,19.999998724542277,0.0,-1.952322559999999,9.999998724542277
163,24.552255776648504,361.90522562080315,0.0,0.0,20.0,12.0,20.0,14.009535488000001,14.399999617362681,0.0,-1.990464511999999,4.399999617362681
164,35.20700903395458,427.2741367458118,0.0,0.0,12.0,0.0,20.0,14.001907097600002,12.719999885208804,8.0,4.4019070976000005,6.719999885208804
165,27.69564569769378,435.7511658326187,0.0,0.0,0.0,0.0,20.0,14.000381419520002,12.21599996556264,20.0,14.000381419520002,12.21599996556264
166,28.586100223189344,500.0,0.0,0.0,0.0,0.0,20.0,14.000076283904,12.06479998966879,20.0,14.000076283904,12.06479998966879
167,35.68545646689555,490.47715249829605,0.0,0.0,0.0,0.0,20.0,14.000015256780802,12.019439996900635,20.0,14.000015256780802,12.019439996900635
